original_language,original_title,overview,popularity,release_date,runtime,tagline,title,vote_average,vote_count,price
en,Safe,"Carol, a typical upper middle-class housewife, begins to complain of vague symptoms of illness. She ""doesn't feel right,"" has unexplained headaches, congestion, a dry cough, nosebleeds, vomiting, and trouble breathing. Her family doctor treats her concerns dismissively and suggests a psychiatrist. Eventually, an allergist tells her that she has Environmental Illness.",8.180047,23/06/1995,119,In the 21st century nobody will be... Safe.,Safe,7.2,62,6.99
en,Smoke,"Writer Paul Benjamin is nearly hit by a bus when he leaves Auggie Wren's smoke shop. Stranger Rashid Cole  saves his life, and soon middle-aged Paul tells homeless Rashid that he wouldn't mind a short-term housemate. Still grieving over his wife's murder, Paul is moved by both Rashid's quest to reconnect with his father and Auggie's discovery that a woman who might be his daughter is about to give birth.",5.552946,09/06/1995,112,Where there's smoke... there's laughter!,Smoke,7.2,115,6.99
en,Before the Rain,"The circularity of violence seen in a story that circles on itself. In Macedonia, during war in Bosnia, Christians hunt an ethnic Albanian girl who may have murdered one of their own. A young monk who's taken a vow of silence offers her protection. In London, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant.",3.525649,09/06/1994,113,Once You Know The Faces You Will Begin To Understand The Story,Before the Rain,7.7,45,7.99
en,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,27/01/1995,105,Can the greatest romance of your life last only one night?,Before Sunrise,7.7,984,7.99
en,The Cure,"Dexter, age 11, who has AIDS, and his next door neighbor Eric, a little older and much bigger, become best friends. Eric also becomes closer to Dexter's mother than to his own, who is neglectful and bigoted and violently forbids their friendship upon learning of it. Dexter and Erik start the journey to find ""The Cure"" they had read about in the local newspaper.",2.686342,21/04/1995,97,The best cure for a disease is friendship,The Cure,7.2,58,6.99
en,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",10.513367,13/09/1994,92,Just because they serve you doesn't mean they like you.,Clerks,7.4,769,6.99
en,Death and the Maiden,A political activist is convinced that her guest is a man who once tortured her for the government.,5.484156,04/05/1994,103,Prepare yourself for the moment of truth.,Death and the Maiden,7.1,92,6.99
en,Dolores Claiborne,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.",5.8025,24/03/1995,132,"Sometimes, an accident can be an unhappy woman's best friend.",Dolores Claiborne,7.1,183,6.99
en,Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",11.720358,27/09/1994,127,"When it came to making bad movies, Ed Wood was the best.",Ed Wood,7.3,639,6.99
en,Hoop Dreams,"This documentary follows two inner-city Chicago residents, Arthur Agee and William Gates, as they follow their dreams of becoming basketball superstars. Beginning at the start of their high school years, and ending almost 5 years later, as they start college, we watch the boys mature into men, still retaining their ""Hoop Dreams"".",9.47666,12/09/1994,171,An Extraordinary True Story.,Hoop Dreams,7.7,91,7.99
